time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
5780,1969-12-31 16:00:00,0,0,0,Available with any HD 360 subscription,Available with any HD 360 subscription,30.43327853292,0,0,0,0,0,0,0,30.43327853292,0,0,0,0,0,0,0, 0, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.047,4.044,4.046,4.045,0,0,0,77.81,30.43327853292,0,0,,
19680,1969-12-31 16:00:00,0,0,0,,,30.43327853292,0,0,0,0,0,0,0,30.43327853292,0,0,0,0,0,0,0, 0, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.047,4.044,4.046,4.045,0,0,0,77.81,30.43327853292,0,0,,"[gps] Found echo!"
52650,1969-12-31 16:00:00,0,0,0,,,30.43327853292,0,0,0,0,0,0,0,30.43327853292,0,0,0,0,0,0,0, 0, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.047,4.044,4.046,4.045,0,0,0,77.81,30.43327853292,0,0,,
57600,1969-12-31 16:00:00,0,0,0,,,30.43327853292,0,0,0,0,0,0,0,30.43327853292,0,0,0,0,0,0,0, 0, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.047,4.044,4.046,4.045,0,0,0,77.81,30.43327853292,0,0,,"[logger] Start mavlink log"
59100,1969-12-31 16:00:00,0,0,0,,,30.43327853292,0,0,0,0,0,0,0,30.43327853292,0,0,0,0,0,0,0, 0, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.047,4.044,4.046,4.045,0,0,0,77.81,30.43327853292,0,0,,
59530,1969-12-31 16:00:00,0,0,0,,,30.43327853292,0,0,0,0,0,0,0,30.43327853292,0,0,0,0,0,0,0, 0, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.047,4.044,4.046,4.045,0,0,0,77.81,30.43327853292,0,0,,
59730,1969-12-31 16:00:00,0,0,0,,,30.43327853292,0,0,0,0,0,0,0,30.43327853292,0,0,0,0,0,0,0, 0, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.047,4.044,4.046,4.045,0,0,0,77.81,30.43327853292,0,0,,
59950,2011-02-07 16:45:55,-3.1117359,107.9423602,0,,,30.43327853292,0,0.0223694,0,0,6,0,0,30.43327853292,0,0.0223694,0,0,0,0,86.9, 84.4, 133.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.047,4.044,4.046,4.045,0,0,0,77.81,30.43327853292,0,0,,
60150,2011-02-07 16:45:55,-3.111736,107.9423603,0,,,30.43327853292,0,0.0447388,0.051559384852,0.051559384852,6,0,32.5021,30.43327853292,0,0.0447388,0.051559384852,0,0,0,86.9, 84.4, 133.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.047,4.044,4.046,4.045,0,0,0,77.81,30.43327853292,0,0,,
60350,2011-02-07 16:45:56,-3.1117362,107.9423604,-0.5461450306,,,29.88713350232,0,0.0223694,0.131488521268,0.133118114496,6,0,32.5021,30.43327853292,0,0.0447388,0.131488521268,0,0,0,86.9, 84.4, 133.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.047,4.044,4.046,4.045,0,0,0,77.81,29.88713350232,-0.5461450306,0,,
60550,2011-02-07 16:45:56,-3.1117363,107.9423605,-0.5461450306,,,29.88713350232,0,0.0447388,0.18232776174,0.184677827432,6,0,32.5021,30.43327853292,0,0.0447388,0.18232776174,0,0,0,86.9, 84.4, 133.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.047,4.044,4.046,4.045,0,0,0,77.81,29.88713350232,-0.5461450306,0,,
