time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
32410,1969-12-31 16:00:00,0,0,0,Available with any HD 360 subscription,Available with any HD 360 subscription,89.963017314512,0,0,0,0,0,0,0,89.963017314512,0,0,0,0,0,0,0, 0, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.047,4.046,4.046,4.047,0,0,0,85.55,89.963017314512,0,0,,"[mavlink] [FMU-WiP] FTP: seq 3 sess 0 opcode 7 size 239 offset 0"
32710,1969-12-31 16:00:00,0,0,0,,,89.963017314512,0,0,0,0,0,0,0,89.963017314512,0,0,0,0,0,0,0, 0, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.047,4.046,4.046,4.047,0,0,0,85.55,89.963017314512,0,0,,"[mavlink] [FMU-WiP] FTP: seq 5 sess 0 opcode 7 size 17 offset 239"
34700,1969-12-31 16:00:00,0,0,0,,,89.963017314512,0,0,0,0,0,0,0,89.963017314512,0,0,0,0,0,0,0, 0, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.047,4.046,4.046,4.047,0,0,0,85.55,89.963017314512,0,0,,"[mavlink] Received new license file from WiP"
46810,1969-12-31 16:00:00,0,0,0,,,89.963017314512,0,0,0,0,0,0,0,89.963017314512,0,0,0,0,0,0,0, 0, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.047,4.046,4.046,4.047,0,0,0,85.55,89.963017314512,0,0,,"[mavlink] Resend PPK license (128) because OBC restarted"
48830,1969-12-31 16:00:00,0,0,0,,,89.963017314512,0,0,0,0,0,0,0,89.963017314512,0,0,0,0,0,0,0, 0, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.047,4.046,4.046,4.047,0,0,0,85.55,89.963017314512,0,0,,"[mavlink] Delete work buffers due to inactivity"
50240,1969-12-31 16:00:00,0,0,0,,,89.963017314512,0,0,0,0,0,0,0,89.963017314512,0,0,0,0,0,0,0, 0, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.047,4.046,4.046,4.047,0,0,0,85.55,89.963017314512,0,0,,"[mavlink] Disabled OPEN_DRONE_ID_SYSTEM_WINGTRA fallback"
50810,1969-12-31 16:00:00,0,0,0,,,89.963017314512,0,0,0,0,0,0,0,89.963017314512,0,0,0,0,0,0,0, 0, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.047,4.046,4.046,4.047,0,0,0,85.55,89.963017314512,0,0,,"[uORB] orb_advertise_multi: failed to set queue size (mavlink_to_wdeb)"
51670,1969-12-31 16:00:00,0,0,0,,,89.963017314512,0,0,0,0,0,0,0,89.963017314512,0,0,0,0,0,0,0, 0, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.047,4.046,4.046,4.047,0,0,0,85.55,89.963017314512,0,0,,"[wdeb_node_base] FMU: CCU: @0x00049F5D1B3A4488: Shutter count: 0x00000000"
51900,2026-06-04 04:49:17,-2.0607601,105.1652433,0,,,89.963017314512,0,0.1565858,0,0,11,0,0,89.963017314512,0,0.1565858,0,0,0,0,0, 0, 0,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.047,4.046,4.046,4.047,0,0,0,85.55,89.963017314512,0,0,,"Flying over urban terrain."
52150,2026-06-04 04:49:17,-2.0607602,105.1652433,0,,,89.963017314512,0,0.0671082,0.036484909304,0.036484909304,11,0,0,89.963017314512,0,0.1565858,0.036484909304,0,0,0,103, 89.8, 4.7,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,4.047,4.046,4.046,4.047,0,0,0,85.55,89.963017314512,0,0,,
